Abkhazian,abk
Achinese,ace
Acoli,ach
Adangme,ada
Adygei,ady
Adyghe,ady
Afar,aar
Afrihili,afh
Afrikaans,afr
Afro-Asiatic languages,afa
Ainu,ain
Akan,aka
Akkadian,akk
Albanian,alb/sqi
Alemannic,gsw
Aleut,ale
Algonquian languages,alg
Alsatian,gsw
Altaic languages,tut
Amharic,amh
Angika,anp
Apache languages,apa
Arabic,ara
Aragonese,arg
Arapaho,arp
Arawak,arw
Armenian,arm/hye
Aromanian,rup
Artificial languages,art
Arumanian,rup
Assamese,asm
Asturian,ast
Asturleonese,ast
Athapascan languages,ath
Australian languages,aus
Austronesian languages,map
Avaric,ava
Avestan,ave
Awadhi,awa
Aymara,aym
Azerbaijani,aze
Bable,ast
Balinese,ban
Baltic languages,bat
Baluchi,bal
Bambara,bam
Bamileke languages,bai
Banda languages,bad
Bantu languages,bnt
Basa,bas
Bashkir,bak
Basque,baq/eus
Batak languages,btk
Bedawiyet,bej
Beja,bej
Belarusian,bel
Bemba,bem
Bengali,ben
Berber languages,ber
Bhojpuri,bho
Bihari languages,bih
Bikol,bik
Bilin,byn
Bini,bin
Bislama,bis
Blin,byn
Bliss,zbl
Blissymbolics,zbl
Blissymbols,zbl
"Bokmål, Norwegian",nob
Bosnian,bos
Braj,bra
Breton,bre
Buginese,bug
Bulgarian,bul
Buriat,bua
Burmese,bur/mya
Caddo,cad
Castilian,spa
Catalan,cat
Caucasian languages,cau
Cebuano,ceb
Celtic languages,cel
Central American Indian languages,cai
Central Khmer,khm
Chagatai,chg
Chamic languages,cmc
Chamorro,cha
Chechen,che
Cherokee,chr
Chewa,nya
Cheyenne,chy
Chibcha,chb
Chichewa,nya
Chinese,chi/zho
Chinook jargon,chn
Chipewyan,chp
Choctaw,cho
Chuang,zha
Church Slavic,chu
Church Slavonic,chu
Chuukese,chk
Chuvash,chv
Classical Nepal Bhasa,nwc
Classical Newari,nwc
Classical Syriac,syc
Cook Islands Maori,rar
Coptic,cop
Cornish,cor
Corsican,cos
Cree,cre
Creek,mus
Creoles and pidgins,crp
"Creoles and pidgins, English based",cpe
"Creoles and pidgins, French-based",cpf
"Creoles and pidgins, Portuguese-based",cpp
Crimean Tatar,crh
Crimean Turkish,crh
Croatian,hrv
Cushitic languages,cus
Czech,cze/ces
Dakota,dak
Danish,dan
Dargwa,dar
Delaware,del
Dene Suline,chp
Dhivehi,div
Dimili,zza
Dimli,zza
Dinka,din
Divehi,div
Dogri,doi
Dogrib,dgr
Dravidian languages,dra
Duala,dua
Dutch,dut/nld
"Dutch, Middle (ca.1050-1350)",dum
Dyula,dyu
Dzongkha,dzo
Eastern Frisian,frs
Edo,bin
Efik,efi
Egyptian (Ancient),egy
Ekajuk,eka
Elamite,elx
English,eng
"English, Middle (1100-1500)",enm
"English, Old (ca.450-1100)",ang
Erzya,myv
Esperanto,epo
Estonian,est
Ewe,ewe
Ewondo,ewo
Fang,fan
Fanti,fat
Faroese,fao
Fijian,fij
Filipino,fil
Finnish,fin
Finno-Ugrian languages,fiu
Flemish,dut/nld
Fon,fon
French,fre/fra
"French, Middle (ca.1400-1600)",frm
"French, Old (842-ca.1400)",fro
Friulian,fur
Fulah,ful
Ga,gaa
Gaelic,gla
Galibi Carib,car
Galician,glg
Ganda,lug
Gayo,gay
Gbaya,gba
Geez,gez
Georgian,geo/kat
German,ger/deu
"German, Low",nds
"German, Middle High (ca.1050-1500)",gmh
"German, Old High (ca.750-1050)",goh
Germanic languages,gem
Gikuyu,kik
Gilbertese,gil
Gondi,gon
Gorontalo,gor
Gothic,got
Grebo,grb
"Greek, Ancient (to 1453)",grc
"Greek, Modern (1453-)",gre/ell
Greenlandic,kal
Guarani,grn
Gujarati,guj
Gwich'in,gwi
Haida,hai
Haitian,hat
Haitian Creole,hat
Hausa,hau
Hawaiian,haw
Hebrew,heb
Herero,her
Hiligaynon,hil
Himachali languages,him
Hindi,hin
Hiri Motu,hmo
Hittite,hit
Hmong,hmn
Hungarian,hun
Hupa,hup
Iban,iba
Icelandic,ice/isl
Ido,ido
Igbo,ibo
Ijo languages,ijo
Iloko,ilo
Imperial Aramaic (700-300 BCE),arc
Inari Sami,smn
Indic languages,inc
Indo-European languages,ine
Indonesian,ind
Ingush,inh
Interlingua (International Auxiliary Language Association),ina
Interlingue,ile
Inuktitut,iku
Inupiaq,ipk
Iranian languages,ira
Irish,gle
"Irish, Middle (900-1200)",mga
"Irish, Old (to 900)",sga
Iroquoian languages,iro
Italian,ita
Japanese,jpn
Javanese,jav
Jingpho,kac
Judeo-Arabic,jrb
Judeo-Persian,jpr
Kabardian,kbd
Kabyle,kab
Kachin,kac
Kalaallisut,kal
Kalmyk,xal
Kamba,kam
Kannada,kan
Kanuri,kau
Kapampangan,pam
Kara-Kalpak,kaa
Karachay-Balkar,krc
Karelian,krl
Karen languages,kar
Kashmiri,kas
Kashubian,csb
Kawi,kaw
Kazakh,kaz
Khasi,kha
Khoisan languages,khi
Khotanese,kho
Kikuyu,kik
Kimbundu,kmb
Kinyarwanda,kin
Kirdki,zza
Kirghiz,kir
Kirmanjki,zza
Klingon,tlh
Komi,kom
Kongo,kon
Konkani,kok
Korean,kor
Kosraean,kos
Kpelle,kpe
Kru languages,kro
Kuanyama,kua
Kumyk,kum
Kurdish,kur
Kurukh,kru
Kutenai,kut
Kwanyama,kua
Kyrgyz,kir
Ladino,lad
Lahnda,lah
Lamba,lam
Land Dayak languages,day
Lao,lao
Latin,lat
Latvian,lav
Leonese,ast
Letzeburgesch,ltz
Lezghian,lez
Limburgan,lim
Limburger,lim
Limburgish,lim
Lingala,lin
Lithuanian,lit
Lojban,jbo
Low German,nds
Low Saxon,nds
Lower Sorbian,dsb
Lozi,loz
Luba-Katanga,lub
Luba-Lulua,lua
Luiseno,lui
Lule Sami,smj
Lunda,lun
Luo (Kenya and Tanzania),luo
Lushai,lus
Luxembourgish,ltz
Macedo-Romanian,rup
Macedonian,mac/mkd
Madurese,mad
Magahi,mag
Maithili,mai
Makasar,mak
Malagasy,mlg
Malay,may/msa
Malayalam,mal
Maldivian,div
Maltese,mlt
Manchu,mnc
Mandar,mdr
Mandingo,man
Manipuri,mni
Manobo languages,mno
Manx,glv
Maori,mao/mri
Mapuche,arn
Mapudungun,arn
Marathi,mar
Mari,chm
Marshallese,mah
Marwari,mwr
Masai,mas
Mayan languages,myn
Mende,men
Mi'kmaq,mic
Micmac,mic
Minangkabau,min
Mirandese,mwl
Mohawk,moh
Moksha,mdf
Moldavian,rum/ron
Moldovan,rum/ron
Mon-Khmer languages,mkh
Mong,hmn
Mongo,lol
Mongolian,mon
Mossi,mos
Multiple languages,mul
Munda languages,mun
N'Ko,nqo
Nahuatl languages,nah
Nauru,nau
Navaho,nav
Navajo,nav
"Ndebele, North",nde
"Ndebele, South",nbl
Ndonga,ndo
Neapolitan,nap
Nepal Bhasa,new
Nepali,nep
Newari,new
Nias,nia
Niger-Kordofanian languages,nic
Nilo-Saharan languages,ssa
Niuean,niu
No linguistic content,zxx
Nogai,nog
"Norse, Old",non
North American Indian languages,nai
North Ndebele,nde
Northern Frisian,frr
Northern Sami,sme
Northern Sotho,nso
Norwegian,nor
Norwegian Bokmål,nob
Norwegian Nynorsk,nno
Not applicable,zxx
Nubian languages,nub
Nuosu,iii
Nyamwezi,nym
Nyanja,nya
Nyankole,nyn
"Nynorsk, Norwegian",nno
Nyoro,nyo
Nzima,nzi
Occidental,ile
Occitan (post 1500),oci
"Occitan, Old (to 1500)",pro
Official Aramaic (700-300 BCE),arc
Oirat,xal
Ojibwa,oji
Old Bulgarian,chu
Old Church Slavonic,chu
Old Newari,nwc
Old Slavonic,chu
Oriya,ori
Oromo,orm
Osage,osa
Ossetian,oss
Ossetic,oss
Otomian languages,oto
Pahlavi,pal
Palauan,pau
Pali,pli
Pampanga,pam
Pangasinan,pag
Panjabi,pan
Papiamento,pap
Papuan languages,paa
Pashto,pus
Pedi,nso
Persian,per/fas
"Persian, Old (ca.600-400 B.C.)",peo
Philippine languages,phi
Phoenician,phn
Pilipino,fil
Pohnpeian,pon
Polish,pol
Portuguese,por
Prakrit languages,pra
"Provençal, Old (to 1500)",pro
Punjabi,pan
Pushto,pus
Quechua,que
Rajasthani,raj
Rapanui,rap
Rarotongan,rar
Reserved for local use,qaa-qtz
Romance languages,roa
Romanian,rum/ron
Romansh,roh
Romany,rom
Rundi,run
Russian,rus
Sakan,kho
Salishan languages,sal
Samaritan Aramaic,sam
Sami languages,smi
Samoan,smo
Sandawe,sad
Sango,sag
Sanskrit,san
Santali,sat
Sardinian,srd
Sasak,sas
"Saxon, Low",nds
Scots,sco
Scottish Gaelic,gla
Selkup,sel
Semitic languages,sem
Sepedi,nso
Serbian,srp
Serer,srr
Shan,shn
Shona,sna
Sichuan Yi,iii
Sicilian,scn
Sidamo,sid
Sign Languages,sgn
Siksika,bla
Sindhi,snd
Sinhala,sin
Sinhalese,sin
Sino-Tibetan languages,sit
Siouan languages,sio
Skolt Sami,sms
Slave (Athapascan),den
Slavic languages,sla
Slovak,slo/slk
Slovenian,slv
Sogdian,sog
Somali,som
Songhai languages,son
Soninke,snk
Sorbian languages,wen
"Sotho, Northern",nso
"Sotho, Southern",sot
South American Indian languages,sai
South Ndebele,nbl
Southern Altai,alt
Southern Sami,sma
Spanish,spa
Sranan Tongo,srn
Standard Moroccan Tamazight,zgh
Sukuma,suk
Sumerian,sux
Sundanese,sun
Susu,sus
Swahili,swa
Swati,ssw
Swedish,swe
Swiss German,gsw
Syriac,syr
Tagalog,tgl
Tahitian,tah
Tai languages,tai
Tajik,tgk
Tamashek,tmh
Tamil,tam
Tatar,tat
Telugu,tel
Tereno,ter
Tetum,tet
Thai,tha
Tibetan,tib/bod
Tigre,tig
Tigrinya,tir
